0.058;0.150;0.115;0.512;2.201;1.004;1.390;0.652;2.534;6.931;
0.039;0.0971;-0.557;0.267;0.103;0.000;-0.818;-0.133;-6.539;0.222;
0.078;0.099;0.141;0.293;1.711;0.379;1.009;0.707;2.414;0.975;
0.079;0.060;0.246;0.128;1.749;0.431;0.762;1.101;1.908;1.407;
0.151;0.237;0.097;0.996;1.132;0.307;0.400;0.687;2.456;5.114;
0.062;0.059;0.096;0.416;0.880;0.250;-0.100;2.110;1.474;1.586;
0.157;0.227;0.230;0.381;0.938;0.087;-0.062;0.626;2.598;2.886;
0.012;0.021;0.167;0.066;1.171;0.026;0.171;1.088;1.919;0.105;
0.363;1.149;0.281;0.677;0.383;0.244;-0.617;0.199;6.036;1.922;
0.147;0.204;0.271;0.304;0.761;0.639;-0.239;0.677;2.476;2.750;
-0.043;-0.014;-0,983;0.013;7.532;3.414;6.532;11.576;1.086;-4.943;
0.182;0.348;0.159;0.653;1.460;1.062;0.518;0.426;3.346;2.836;
0.302;1.196;0,294;0.499;0.464;0.286;-0.536;0.140;8.149;2.300;
0.080;0.084;0.140;0.150;0.998;0.674;-0.002;0.334;3.992;1.174;
0.163;0.200;0.620;0.165;1.820;0.094;0.820;1.050;1.953;2.986;
0.015;0.006;0.066;0.051;1.773;1.111;0.773;1.062;1.941;0.282;
0.093;0.191;0.209;0.384;0.875;0.438;-0.111;0.723;2.383;-13.698;
0.101;0.130;0.180;0.368;1.313;0.660;0.351;1.035;1.966;3.896;
0.193;0.550;0.203;0.423;0.752;0.478;-0.248;0.185;6.417;2.122;
0.085;0.092;0.089;0.487;1.140;0.507;0.173;0.876;2.142;1.303;
